y,y (observed),out of bag mean,out of bag standard deviation,normalized residual
12.37835345550624,12.37835345550624,15.48325024075494,2.684802183552579,1.1564713423840576
5.349491410795697,5.349491410795697,6.485612906947545,2.0015906973136737,0.5676093007809401
7.750285984433598,7.750285984433598,9.145096903616547,3.2976073168719,0.4229766570587498
15.760691297458102,15.760691297458102,14.344377232447396,1.2452229530638492,-1.1373979748171925
13.649364011706691,13.649364011706691,13.198923104841116,3.65164466901939,-0.12335288553322908
5.5032399029886605,5.5032399029886605,7.464064730665778,2.9624183695238284,0.6619000367568932
13.680372763273544,13.680372763273544,15.041048498960096,2.610563159693344,0.5212192360235357
17.845439806070218,17.845439806070218,12.130042916653096,1.3659730477905305,-4.184121274326612
5.951516749270802,5.951516749270802,8.520559243779614,3.0075850039452234,0.8541878254941591
12.018713316932313,12.018713316932313,12.145621852300868,4.743631249525978,0.02675345714978094
15.783753612815532,15.783753612815532,16.51140436396224,2.9264746685732046,0.24864413109766317
17.30190892068647,17.30190892068647,14.100128720715055,3.65021192585439,-0.8771491258612294
21.770347213822618,21.770347213822618,14.782532563463405,3.1838337384638113,-2.194780011889317
10.20227501647301,10.20227501647301,10.387092543465291,2.2707258921712636,0.08139138573681363
8.346983987005247,8.346983987005247,9.243889269094527,2.140842615621377,0.41894965820687124
14.935577218502939,14.935577218502939,14.401110748437848,2.8182812465912637,-0.18964270181037926
19.87938513352792,19.87938513352792,17.74408192832919,3.4126284212123967,-0.625706330031713
10.199279828359144,10.199279828359144,11.843475241247987,3.5509095514784086,0.46303500245571955
8.776940119033618,8.776940119033618,8.964522350125062,2.6191070087630424,0.0716206823409004
18.91352891854938,18.91352891854938,17.459450159567208,3.2211701711391827,-0.45141320753877723
11.85738790100528,11.85738790100528,12.387732472006634,5.011913288503124,0.10581678901307343
20.86281307008204,20.86281307008204,18.202212324425258,2.9496982295132934,-0.9019908270737877
23.863416783362602,23.863416783362602,19.946463930284143,2.5125885224899727,-1.558931284616696
17.5792690751408,17.5792690751408,15.085821109946625,4.098045051930418,-0.6084481584748844
17.003165601281054,17.003165601281054,17.161286319150534,3.1393608196224907,0.05036716929164382
19.567727584951932,19.567727584951932,17.775451520347463,2.2228877242186327,-0.8062827668160666
21.913977782602778,21.913977782602778,19.168568607988473,3.4008956984294345,-0.8072606213363619
14.581969847489756,14.581969847489756,12.20162782284545,2.82641710785778,-0.842176484860167
18.780118824334654,18.780118824334654,18.894258451855528,3.1984025172700137,0.03568644875201563
20.24657663375217,20.24657663375217,17.824406077334167,2.9277195720141758,-0.8273232790364646
19.056367654852803,19.056367654852803,19.567473613524772,2.000558567243145,0.2554816275018106
14.147562248305679,14.147562248305679,12.708168728431396,3.354068430450071,-0.4291485250589046
15.788189303695203,15.788189303695203,13.71865254688518,2.0956714143179904,-0.9875292198340779
7.473826834257962,7.473826834257962,8.858937174587716,2.8861500794701263,0.4799162559779458
11.925213409002968,11.925213409002968,10.276181231301923,3.261841038792423,-0.5055525876612119
19.597287349871312,19.597287349871312,15.800308903663241,4.082815131689285,-0.929990294377363
18.270878698883553,18.270878698883553,17.564612949500223,4.181904009554253,-0.16888616949833127
10.473154906644044,10.473154906644044,10.037633412201542,4.763006009027316,-0.09143836762268608
7.587893754107123,7.587893754107123,10.792972486118861,3.3540941449287978,0.9555720840029603
14.150405924841051,14.150405924841051,13.812393631216676,3.3677267248227345,-0.10036808840009644
21.423318464738852,21.423318464738852,19.774948056475505,2.1001089088139,-0.7848975838087908
17.36460313512881,17.36460313512881,18.614011334909556,2.2221987460660086,0.5622396295527533
5.737047214408722,5.737047214408722,7.902963394923721,3.3375092277685847,0.6489618552944353
10.950468823653907,10.950468823653907,10.226079657110947,3.1269220445772596,-0.23166204856280395
12.045206091325749,12.045206091325749,13.741336331013542,2.7639712529445792,0.6136569755857018
15.924747293170732,15.924747293170732,14.035392758229154,2.1283222713176606,-0.887720135434125
14.277026598628328,14.277026598628328,15.577436048935313,3.3507181513031483,0.3880987273731855
